username;title;model;verified;date;region;text;stars
Eva narodizky;very comfortable keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;August 7, 2023;United States;"
I had a few keyboards by now but non of them were this good. You get a hand rest with it that I never knew I needed and helped me improve a lot. The switches feel incredibly nice to hear and press, no need a lot of pressure on press for it work, the material of the keys feels smooth and enjoyable to touch and I do have to say the engine is pretty fun to use.
";5.0
Dhiraj Krishnamurthi;Just what I was looking for;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;October 18, 2023;United States;"
I recently started gaming and bought this. The size is perfect.Buttons are super clicky and the RGB lighting looks really cool.10/10 would recommend.
";5.0
jacqueline Perez;Nice;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;July 23, 2023;United States;"
Keyboard was amazing and the switches sound nice
";4.0
becca stevenson;What is up with useless LED;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;March 19, 2023;United States;Reviewed in the United States on March 19, 2023;4.0
Jeremiah;An Amazing Mechanical Keyboard;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;October 8, 2020;United States;"
The Apex 7 TKL is my first mechanical keyboard and I absolutely love it. I chose the blue switches cause I really enjoy the loud and clicky keys. The RGB illimitation is bright but not over the top, and is pretty accurate in terms of color preciseness. The sleek and slim design of the keyboard is very aesthetically pleasing and works with any setup. The magnetic wrist rest is very comfortable, and it is not a fingerprint magnet. The cable management is great because of the three different route options, so you can have the cable come out through the left, middle, or right side. The OLED display is definitely a nice addition to display text or GIFs. Is it unnecessary? Yes, it can be, but at the price you're paying, I feel like it's a nice extra added onto the keyboard.Overall, the compatibility with the SteelSeries Engine makes the brand a top choice for peripherals, especially if you like RGB and smooth integration of your peripherals. I would definitely recommend this keyboard.
";5.0
blizz3010;Super sleek, very quiet, feels nice A++++;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;June 16, 2023;United States;"
Pros: Love how quiet the keyboard is. The key clicks just feel so nice. Feels really well made.Cons: Don't really all the illumination, had to turn some of that off. other than that 10/10
";5.0
Juan S.;Is exactly what you would expect;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;September 10, 2023;United States;"
Really nice build quality, nice sounds, good lighting, fully customisable!
";5.0
Jake;Perfect;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;September 18, 2023;United States;"
exactly what I thought I was buying
";5.0
Mike Roach;Great Keyboard. Sounds/Feel Great.;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;June 14, 2020;United States;"
I have no complaints about this keyboard itself. The wristrest is a little hard, but that's just my opinion. I already had a wristrest so I didn't even consider it part of the purchase. I used to have a Razer Blackwidow Ultimate and recently switched to this SteelSeries Apex TKL w/ Blue Switches. The switches feel great, you know exactly when they actuate and have a nice crisp clicky sound. The lighting options are awesome and the colors look great.I thought about going for a keyboard with the new optical switches but I was unsure of how they would feel and sound. This keyboard delivers exactly what I expected. I also replaced the orginal keycaps with some HyperX Pudding caps and it looks dope! There was nothing wrong with the stock caps, I just wanted additional aesthetic customization.I might throw some O-Rings onto WASD just to reduce the travel after actuation, which should make strafe-peaking and such easier in games like Valorant/CSGO.I easily recommend this keyboard.
";5.0
Noah;Lasted for year, 2 moves, and my dad leaving;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;June 18, 2021;United States;"
I dont know how hard other people smash their keyboards after losing a match of fortnite but this thing is a dream. I replaced the caps with PBT for comfort since my fingies get a lil sweaty when im trying to wiggle away from a dragon in skyrim. otherwise,-not too loud-long term sustainability-the oled screen is fun to add user generated animations (mine is a cat running atm)-more mousepad space w out the number pad-audio controls are intuitive and work wellOverall, I love the build quality and look of luxury you get. It isn't the cheapest keyboard nor is it the most expensive. It has a great weight to it and the RGB is crisp with endless color options. It has served well as someone with a lighter keystroke than king kong.
";5.0
Will McIlvain;Goated Keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;August 5, 2023;United States;"
Keys are pretty high, which feels super nice, but it gets dirty/dusty fast. 10000% worth it regardless
";5.0
Antonio Stevens;Great gaming keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;March 19, 2023;United States;"
As a mature gamer, I wanted something to use with my gaming laptop.  After seeing my stepsons friend with one of these, I had to get one.The quality and features of this keyboard is amazing.I highly recommend.  No issues.
";5.0
saadatorama;Surprisingly great keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;July 3, 2023;United States;"
I really am not the biggest fan of RGB, but leaned into it for the nerdiness. This helped.
";5.0
Karen Orozco;Un periférico;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;July 13, 2023;United States;Verified Purchase;5.0
Joseph;I just love it;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;December 13, 2021;United States;"
I'm all for steelseries, so I'm a bit bias. I first had a pair of Arctis 3's loved them to death. I just built my first PC and for my mouse and keyboard I went steelseries. Best decision, the software is easy to use and has a lot of extra things you can do. I'm no pro, but the switches are great and I have no complaints. Easily the best part is the RGB, I've had it for about 6 months and have had no issues. Great build quality, just great everything. Maybe a bit pricey but 10/10 would recommend!
";5.0
ethan;very good keyboard;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;April 14, 2022;United States;"
good feeling switches, numpadless so it takes up less space, cool effects and software, neat screen although rarely used, excellent build quality, wrist rest is a little too narrow and my hand sits on my desk half of the time and i only have medium sized hands, one cable comes from the keyboard but splits in two for the usb passthrough and the keyboard which is annoying and I don't see why it couldn't have been one plug. overall very good keyboard cant live without it.
";5.0
TCCL;Best Keyboard I have owned!;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;January 13, 2023;United States;"
This thing has really nice software and the brown switches feel buttery smooth, I love typing on it. Plus I can put a flying dragon on my screen and who doesn't love a feature like that hahaSteelSeries is beginning to be my go too for gaming peripherals. There Arctic Pro Wireless headset is also amazing!
";5.0
Jacob L Marcuson;Just buy this keyboard.;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;January 9, 2021;United States;"
What is not to like about this keyboard? Fully customizable RGB lighting. The clicky blue switches feel absolutely amazing, and sound fantastic. The 10 keyless gives me so much space on my desk for my mouse while I am gaming. It has a USB port on the keyboard you can use for your mouse or for other lighting options you can purchase (I.E.- I have a light bar plugged into my keyboard I use to back light my monitor.) You also can't leave out the fact that it has media controls on the keyboard as well. It has everything you want in an aesthetically pleasing keyboard for a great price. Other keyboards that run more than 120.00 are falling short compared to this beauty. 10/10 would recommend to anyone I know.
";5.0
S H;One of the best gaming keyboards!;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;April 1, 2023;United States;"
My son absolutely likes this keyboard! It’s very comfortable and it is satisfying to click the switches! The Rgb too is on point!
";5.0
Randy D;Amazing!;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;April 7, 2023;United States;"
I l0ve how customizable it is! If you have extra money and you really want a keyboard, I would definitely recommend this one!
";5.0
Jing-Shuan;Value for money?;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;June 12, 2020;United States;"
First off this is an excellent keyboard, the typing experience on it is great (if a bit loud, but that's what you're getting with blue switches like I did). Every piece of it just seems very high quality to me from the keys to the base and wrist-rest, its incredibly solid feeling and honestly the only feature that I could ask for is if it had a headphone-jack and detachable cord. I thought the software was very easy to use and didn't have any trouble setting it up. After using it for a bit however I question if the unique OLED in the corner was worth the price-premium, I've found that while cool, I basically just don't use it.
";4.0
Chris Pritchett;Good Keyboard. Value isn't amazing.;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;July 16, 2020;United States;"
I mostly bought this keyboard because other ones were out of stock (thanks covid-19.) It's a pretty nice keyboard, but I think the idea to use some of the budget to put OLED screens in this keyboard nobody cares about was stupid.I think for the price the keyboard is, throwing in a Left row of Macros or a better USB I/O would've been really nice.Still, I don't think I can throw anything lower than a 4-star on it. The keyboard is serving me well. The only downside I see is that the switch life on these are 50m compared to 100m on Cherry MX or Razer's switches.
";4.0
adam;is nice;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;June 17, 2023;United States;"
i like the keyborad, good keyborad
";5.0
Santiago;AMazing keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;March 11, 2021;United States;"
Coming from a Corsair Keyboard this one feels much more premium and look way better. The quality seems really good and the switches works perfectly. The display on the right corner looks amazing but have not put it to work yet, need to do a little more research on how it works.What really impress me of this keyboard was the integration with certain games and how the keys light up different.Overall the keyboards is outstanding and worth the money you pay for it. Will definitely recommend to someone in the search for a new keyboard.
";5.0
M. Decker;Works on a Mac!;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;June 19, 2021;United States;"
The keyboard is awesome. Great size and functionality. The colors are great.I gave the keyboard four stars because SteelSeries does not offer Mac keycaps (buy them from a competitor) and the software frequently glitches so you can't actually change settings. Fortunately, once the color profiles and buttons are set the software isn't needed. When the software does decide to load, it's awesome.
";4.0
Simba ;Best keyboard I've used in my entire life.;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;May 6, 2020;United States;"
Feels amazing, doesn't take up too much space and is incredibly pleasing to look at. I haven't felt this good about a purchase in a while but this particular product does it for me. I've used other gaming keyboards from Razer, Logitech and all the other brands out there but this is my overall favorite and I've only been using it for at most an hour. The OLED is a nice touch but I don't care too much about that. I plan on just using random gifs on there. Love the wrist rest and everything else though. Will update if I have any complaints but so far it's a solid keyboard with a nice build to it.
";5.0
Tandey;I love this keyboard!!!;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;July 8, 2020;United States;"
This is by far my favorite mech keyboard! Great purchase but ONLY IF you mind not having a basic keypad on the right hand side. I did not read close enough upon arrival was disappointed at first. Once I got past the no keypad part I realized I didn't need it in the first place nor do I play and games with it I legit just paid bills with it :D :D so after consideration I decided that I love this keyboard if you are looking for something that works great looks great and sounds great get this product!!! Oh and your able to customize it in so many ways!
";5.0
Rocky;Amazing TKL Keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;February 13, 2020;United States;"
I bought this after my cat ruined my $150 Corsair keyboard and this had just come out so I figured I'd give it a shot. Totally glad I did. I personally prefer smaller keyboards as my older Corsair was taking up a lot of space on my already huge desk. The wrist rest is absolutely amazing too. It's a nice, thick matte black finish. Much better than just a piece of hard plastic you rest another padded rest on.It also have the option to put a picture on your screen in the top right hand corner which is kinda cool but not totally necessary. Just a cool add on.
";5.0
My Pen Name;Love this keyboard.  Great for gaming and work.;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;January 25, 2023;United States;"
Does not take up very much space and keys have a nice action when you hit them.  Lights on keyboard are just right.
";5.0
Khaden;bad stabs;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;April 11, 2021;United States;"
Okay i wasn’t that into keyboards when i bought this and i still use it and am happy with it. but now that I know more i’m kinda unhappy with the stabilizers. they are pretty clacky and even though every other key sounds good with red switches the space bar enter bar and caps lock is just icky to press.
";4.0
Gleb;White LED;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;November 3, 2019;United States;"
Perfect mechanical keybord but got few soures of light, that can not be regualted. First is USB Pass Through that is a little projector, that can not be turned by program way, the only way to turn it off is to plug out it from PC USB pass through connection. Second source is multimedia button that can not be turned off any way at all. In my case it was very important to turn off all led with working pc sometimes, and that is this keybord just can not do at all.
";4.0
March;great gaming keyboard!! worth it!!;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;February 18, 2021;United States;"
for a few weeks' usages, SteelSeries Apex 7 TKL is great (red switch). just want to let the next buyer know that if you buying the Red switch, you probably want to lube the switch because if you crazily press a certain key like me, the switch will starting to have loud spring noise, so lube the switch will help a lot on the pressing experience as well as the sound quality. Secondly, the cable is super thick, I looking forward to seeing the change with it.
";5.0
Jacob K;Best keyboard ever;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;June 1, 2022;United States;"
Red switches feel like butter. Keys move so gently and nice, very quiet, bright, FULL RGB with sick presets, and not to mention the OLED, which has built in gaming presets for like CSGO, and plenty of others; you can also make game oled things yourself!
";5.0
BillyJoe;Love and Hate;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;January 13, 2021;United States;"
I love the sound of the keys. The colors are great! What I hate is the stiff cord... I game from the couch, and setting down the keyboard and the cord is all twisted and in the air. I trip over it often. I realize that if I was at a desk this wouldn't be a problem. This observation is for couch gamers.
";4.0
G;Beautiful, functional, and very annoying.;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;October 5, 2019;United States;"
Excellent tkl keyboard, but missing some features expected of brand new designs mainly a removable cable, and/or a USB C Cable. Additionally, the colors are fantastic but when I play CS:GO there are two rows that simply refuse to follow the set colors and always default to green and blue. I can not figure out how to change this, and the manual does not elaborate. I've had to turn the lights all the way off since it really annoys me.
";4.0
EF;I would recommend;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;July 6, 2020;United States;"
It's a great keyboard.  I use it for gaming and work. I don't miss the number pad. My desk is small so it's a perfect fit.For Ergonomic, I gave it a three, due to the keys being close together, great for gaming, but as an Ergonomic standpoint, not so much; Keyboard is straight, it's not curved, so it can put so strain on the wrist after a few hours.Overall I love it, it can be a great, get feet wet, into Mechanical Gaming due to price.
";5.0
Dbott;Perfect Gaming Keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;August 12, 2019;United States;"
This keyboard is hands down my favorite I've used so far. Started from a Corsair Strafe to an Apex M750 and now to the Apex 7 TKL w/ cherry switches. I am glad I did. The extra space for the mouse on the mousepad (I use an XXL reflex lab mousepad) is fantastic. The OLED screen, while some find it to be gimmicky, I find is pretty cool. On the fly settings access without going into the engine software is a really nice feature.For the price, I don't think you can find a better TKL keyboard. Highly recommend.
";5.0
Amazon Customer;After 10 months 2 Keys stopped working;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;November 18, 2021;United States;"
2 Keys stopped working, an one is duping key actions , good keyboard but the second time that this happens to me with steel series keyboard.
";4.0
Brandon;Nice,quite and smooth.;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;May 18, 2020;United States;"
It's a keyboard it types stuff and the keycaps light up.  But more seriously I bought this to switch from my Razer greens the clicky just started to get to me so I went with the browns and it's nice and quite and smooth. Only downside is Razer made it right with a padded wrist rest. This wrist rest is soft feeling but not padded.  I just have a gif running on my oled screen so can't say much about it.
";5.0
Idan.a;would rate 9\10;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;August 13, 2021;United States;"
amazing product i really enjoy the feeling of the typing altho its little bit easy to click on other keys sens its linear keyboard so if u have chuby fingers mabye its not the best keyboard for you.really cool led screen with alot of options on the system keyborad9\10 !
";5.0
Amazon Customer;Best keyboard ever!!!;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;October 5, 2020;United States;"
The keyboard feels very comfy and the config easy very easy to setup. Brown switch is the best option for gaming and typing. It comes with a detachable wrist rest and it’s super comfy. I would give it a 5 stars if it has detachable USB-C cable.
";4.0
