username;title;date;region;text;stars
Pivatic;Keep things 4in off the floor works perfect six months now.;April 6, 2024;United States;So if this thing lasts its worth $1200 to us. I 3d printed shelves and risers for furniture and appliances so everything is off the floor 4in and our cabinets don't have toe kicks. Best to mop and vacuum twice the first pass softens the dirt and the second finishes it off. Have not cleaned the mop yet or changed the dust bag nor cleaned the dustbin filter all have self cleaned well. When the dustbin no longer empties on max power its time for a new bag but hasn't happened yet. The mop filter gets washed monthly on the 3rd rack in a Bosch 800 series dishwasher comes out spotless. Does not suck up catliter well but the mop sure does. No scratches on the tile or hardwood and the rugs stay clean even with 2 dogs and four mega fluffy cats which the app shows as dog or cat icon when they don't move. It showed a poop icon when my wife didn't move ...im never letting that down. We use vinegar and water and everybody comments on how clean the floors always are. I just smile.;5
Amazon Customer;Had a defective product but support team took care of it. Great product overall.;March 14, 2024;United States;I fell in love with this thing right off the bat after using Roombas for years. But I will say my Roombas never broke down, not once. This Roborock has broken down 4 times in 3 weeks and the main culprit is the LiDAR turret which serves as the robot's vision sensor, so if it breaks, it doesn't work at all. It continually thinks something is obstructing the turret's view (not the case) and I have to take the robot apart, rotate the turret, (redundantly) clean it, and put it back together and hope it resets things. Fourth breakdown this morning and I've taken it apart and put it back together 3 times to no avail, so this thing is completely useless now. I am reaching out to customer support hoping for a total replacement of the robot itself and will update this review after I hear back. UPDATE: Adjusted to 5 stars. Customer support team process took a bit of extra time by requesting a video upload of the original vacuum malfunctioning prior to sending a replacement. The replacement they sent has been working great the last several weeks and their support team has been patient with me in mailing off the original one as I have been juggling personal affairs that have eaten up all my time. Looks like my original vacuum was indeed a defect. This thing works great for early morning routines -- I have 2 huskies who obviously do their share of shedding and rainy/muddy days are very tough without the roborock. It's amazing coming downstairs in the morning and seeing the floors immaculately cleaned. Much better product than the Roombas I've moved off of.;5
Ellie wang;Disappointing Experience with Roborock S8 Pro Ultra - Water Leakage Issue;March 18, 2024;United States;I purchased the Roborock S8 Pro Ultra Robot Vacuum and Mop from the RockDock Ultra Series about two months ago, attracted by its advanced features such as auto drying, auto mop washing, self-emptying, self-refilling, liftable dual brush & sonic mop, 6000Pa suction, and obstacle avoidance. Initially, I was impressed with the innovative technology and the promise of a hassle-free cleaning experience. Unfortunately, my satisfaction was short-lived. Recently, we discovered a significant issue with the product: it leaks water everywhere during operation. This defect went unnoticed until it caused substantial damage to our expensive wooden flooring. The water leakage from the Roborock S8 Pro Ultra has destroyed the integrity of our floors, and we are now faced with the distressing reality of having to replace them—a process that will cost us thousands of dollars. %%%%%%%%%%%%% May 1，2024 update: Because the device leaked, it caused a lot of damage to our floor. However, I have to say, the customer service was very friendly and responsible, and although it was past the return period, they still replaced it with a brand new one.;4
KenC;This Robo Vac is the BOMB!!;February 19, 2024;United States;We have essentially stopped vacuuming our house with our stick vacuum. Additionally, we haven't mopped a floor since we got this vac in Jan 2024. The tech on this thing is impressive. It took a few hours to map our home, but it did it with so much detail it was amazing. It allowed us to block off very precise areas for the vacuum to avoid and set up scheduled room cleaning. We have it vacuum and mop the kitchen every night at 8:30pm. It took a couple of week to figure out how to adapt our home to this vacuum. It's forced us to not leave things on the floor is some areas so the vacuum can do a complete job. We have it run a whole house cleaning on Friday's where we pick up bath mats and other items so it can do a thorough job. The vacuum loves a phone charging cord, so we've had to make sure these are not on the ground when it's at work. Emptying the dirty water is easy and rather satisfying since you see how much dirt is being cleaned from the floor. Another plus is the easy roller brush removal process and the ability to remove the end of the brush to remove longer hair that gets wrapped around it. Other vacuums force you to cut this hair from the rollers. Super convenient feature. Finally, I will say to set expectations accordingly. This vacuum is not a set up and forget it type of technology. It requires a few minutes a few times a week for maintenance and cleaning, but this is a small fraction of the time we would spend actually vacuuming and mopping. Staying on top of maintaining the machine makes a big difference in its effectiveness. Love this product!!!;5
Tony Tang;Wow - this thing is amazing;April 18, 2024;United States;;5
lizaq;The bomb!!!;December 10, 2023;United States;This vacuum is amazing so far! In anticipation of getting it, I got myself all worked up and stressed out about setting it up. It was so easy. Step by step guide and then an app. Once you unwrap it, you plug it in and then download the app. You’ll start out mapping your house. All you need to do is connect it to your internet and then you turn it on and let it go thru your house to get the full map. It does all the work! After that you can go into each room on the map and create fake walls if you want it to avoid certain areas such as going under the bed. It got to the basement stairs and just backed up. Then I ran the first cleaning with both the vacuum and the mop with plain water. It mops and then it appears it dries as it goes. I’m not quite sure about that, but just know your floors are not soaking wet after it goes over it. No streaks and our hardwoods look beautiful! It went thru the whole house, but I noticed that it had only vacuumed one strip in the back bedroom so I was concerned. Well after it completed all of the mopping areas it went all the way back to the other side of the house and completed a full vacuum of that bedroom. Each time I think it’s going to miss a piece of fuzz or something else it goes back and gets it. I empty the dirty water bin and it’s disgusting! I can run it each day and the water is disgusting. How is that possible? Now I just added the concentrated soap that goes with it and there’s no smell at all and the water is even dirtier. You can set up schedules for vacuuming and mopping or just vacuuming. I let it run a full vacuum and mop twice a week at 10 am and then I set it on quiet mode and let it vacuum just the main areas of the house two days a week at 1 am. I love that you can pick which rooms you want done and what time. We can’t even hear it running. The vacuum seems to be pretty strong. However, I will say that on a couple areas of the living room hard wood floors, it’s not getting flush with all of the baseboards so there is a little dust remaining, but barely. So you still need to do a little bit of cleanup with maybe a swiffer. It comes with two bags for where the dirt goes when it’s emptied. I have no idea how long those will last, but I’m sure the app will tell me when it’s full. It did get hung up on one cord so far and got stuck under a chair, both times the app sends a notification. So far it’s been a great investment, which I got for $400 off during Black Friday week, so they do go on sale occasionally. Hope this review was helpful because these were some of my main questions.;5
Ravi;Best robot vacuum;April 21, 2024;United States;I usually don’t write reviews. But this thing saves me a ton of time. I know longer vacuum or mop my hardwood floors and carpets. It has its limits, such as it’s too tall to clean under my cabinets, but that’s not an issue. LiDAR and obstacle avoidance works really well. App can be a buggy sometimes but not really an issue. Only thing I dislike is that it’s not smart enough to know when its dust bin is full mid cleaning. But from what I’ve read iRobot has a patent.;5
sunshinenoptimism;Outperforms my iRobot!;April 3, 2024;United States;"Works great - after some customer service help! First of all, hit a snag right out of the gate with the bag not registering as installed for the vacuum portion of the dock. I was able to locate the email for customer service and shot off an email to get a ticket started. Pretty quick response time, and they had standard troubleshooting tips that i performed before they told me just to send it back. I was able to get the UPS label and drop it off (just took a picture of the receipt; didn't take a video of anyone), waited 4 days for the new one to arrive and it works a treat! Mapping is almost instantaneous, vacuum and mopping is efficient and the app is pretty easy to set up! Pretty excited to replace my two iRobot vacuum and mop for this one robot!";5
Andrea Gonzalez;Great vacuum;January 21, 2024;United States;I bought this robot vac after my cleaning lady quit, as my white tile floor gets extremely dirty with 2 crazy shedding dogs (corgi and husky), a cat and 2 messy cooker humans. My parents had a 2020 iRobot vacuum and it was honestly very disappointing. It always got stuck in cliffs, constantly got lost, and always had errors preventing it from following the set schedule, so I was skeptical. I couldn’t be more happy with this purchase. It’s been just about two months of use, I run this almost everyday to keep the place presentable and I have yet to replace the dust bag (will probably be this week). It requires the perfect amount of work, and have only had to reboot maybe twice. I do regular vacuuming and mopping throughout the week with this thing with the deep+ option always on and never let it vac/mop simultaneously, I always have it do it separately. Once a week I remove items like chairs, trash cans, dog beds, dog crates, and any other easily movable objects to other rooms to have it get the hairs that build up in random places. It usually does a great job at getting everything clean in the first go, although it does struggle a bit with tough stains in my kitchen, but spraying them with water before usually does the trick. I also like using the remote control option if it’s just not handling it correctly (takes 5min out of my time, and minimal physical effort. I refill and empty bins once or twice a week. And remove any stuck hairs between brushes also once a week, i love how everything is easily removed. The only thing i hate is that rotating sweeping brush that’s on the side, because it bends due to it hitting walls and other objects. But it comes out brand new after putting the bristles in boiling water for a few seconds. Great purchase overall. It’s also very entertaining watching it clean. My cat has a vendetta against it, and is always taking it out of the base. A bit inconvenient with multiple level homes because you have to pick it up after it’s done. But that’s not the robot’s fault.;5
Robert A. Reinsch;Changed my life;May 4, 2024;United States;;5
Randall Stewart;This mop is an advancement in floor cleaning!!;December 8, 2023;United States;"So I have waited a week after we got our S8 setup and running in the house. We have white porcelain tiles (big ones 2x4') throughout the whole downstairs. The kitchen, Family room and foyer are close to 1500 sqft. And my wife, since buying the home in 2021, has been swearing the floors will kill her. White tile is hard to keep clean especially in the kitchen. So early on I bought a Roomba i7 and a Brava jet mop. Now they work more or less but often times they are ""lazy"". In that they don't dock right and then you have to notice that they are not doing there job and go futz with them to get them charging again. I have moved these guys out to other areas. The Brava jet worked as long as you dolled it out in small areas. Which means every day it I would have it deal with about 1/2 of the small tank on it. And every afternoon I would have to clean the pad and fill the little tank. Really quite a lot of work, and after about a year of doing that I just said forget it.. too much work for what you get out. I saw the S8 a while ago but the price put me off a bit.. I finally decided to splurge and try it. Wow is all I can say. It vacuums and mops and it does so efficiently. Instead of just wandering around like the roomba's do it maps out the floor and goes back and forth like I would if I was mopping. Then periodically while mopping/vacuuming it pauses announces its going to wash the mop and goes back and does so. Even better we do have carpets down and it recognizes that, lifts its mop up and just vacuums those areas. It is just stunningly amazing. Our floors now are cleaned every day and even at that its amazing how much dirt it gets up. And the water reserve is great too, all I do is about every other day go down, dump and clean out the dirty water (and it is always grey let me tell you could have something to do with our puppy :D ) and then fill up the clean water bucket. This is truly a revolutionary advance in cleaning. I just can't say enough good things about it. Now the only question will be how long it holds up. If something happens I will update the review. And I did notice in the manual every few weeks I will have to do a bit of cleaning and servicing.. but considering how wonderful it works I am fine with that!!";5
C;Amazingly self-sufficient robot!;November 19, 2023;United States;After three weeks of heavy usage, I really love this robot. I’m extremely impressed by its navigation and obstacle avoidance capabilities and how close to hands-free it truly is. “Rosie” (of course!) has gotten/kept my house cleaner than it was for a long time. Rosie almost never gets stuck, especially now that we’ve identified a couple trouble spots to mark as no-go zones, and just goes about her business cleaning. My house is fairly large and is home to a cat and a dog, who like to shed everywhere. (It’s really neat when one of the animals sits in Rosie’s path long enough for the “cat” or “dog” icon to pop up on the map in the app!) I now have Rosie scheduled to vacuum high traffic areas every night, which keeps things under control. My downstairs is mostly hardwood and tile, with a few area rugs. The S8 Pro Ultra’s self-filling and self-washing makes the mopping functionality truly useful—it requires multiple refills to get my whole downstairs mopped, which would rarely happen if I had to refill by hand. Overall, this robot admirably meets my needs. My prior experience with a robot vacuum was roughly 18 years ago with the then base model Roomba. It was neat at first, but eventually felt like more trouble than it was worth. I was spending more time picking up the floor and unsticking/cleaning/emptying/maintaining the robot than it would take me to just hand vacuum the small condo I lived in at the time. I gave up on robot vacuuming until the technology advanced and, in the meantime, moved to the larger house with more extensive cleaning needs. The S8 Pro Ultra seemed to be the more advanced robot I was waiting for, and I have not been disappointed. This machine avoids most of the limitations of my old Roomba. I have noticed a couple of minor software issues that hopefully will get ironed out with future updates: 1. Some glitches with naming rooms on the maps, especially when trying to assign custom names. 2. Multi-level functionality could be a lot smoother. Getting the robot to switch maps is cumbersome, especially when you just want to do selective room cleaning on the new floor. And the robot then thinks its dock is on the new floor too. Other than these minor issues though, I find the app very good and useful. I have been so pleased with this robot that, last week, I got an S8+ at the Black Friday sale price to keep upstairs. My upstairs is mostly carpet, so the Pro Ultra’s mopping functionality is less needed up there. So far, the S8+ is also meeting my expectations. And it’s fun having two robots at my command.;5
J.Steve;Great app, but cleaning power is lacking;January 6, 2024;United States;"THE GOOD: This unit has an amazing app. It can save multiple maps so that it knows the rooms in each level of my house, and if I put it in a random spot and tell it to vacuum a given room, it'll correctly orient itself in ~20 seconds and do as requested. I can also use the app to highlight 1 or more specific area and it'll head straight there, which is great if we spill something on the floor etc. It is much quieter than my Roomba, both because the vacuum itself is quieter but also (importantly) because it doesn't bumble around bumping into things and causing a racket. I also love that it vacuums room by room, so it'll fully complete a room before moving on to the next one (once you've defined each room on your map). And the app lets you track its specific progress in real-time. It gets stuck less often than the Roomba since it's able to identify and avoid potential obstacles like wires, for the most part. THE BAD: First off, this is a minor thing but it really disappoints me: the Roborock doesn't leave nice clean vacuum lines in my carpet like my Roomba does. When I come downstairs in the morning I can't tell if the vacuum has run or not without checking the app. By contrast, the Roomba always left the carpet looking more freshly vacuumed. Second, the suction power seems fairly weak, even on the max setting. Sometimes I'll find crumbs on the floor (even the hardwood floor) even after doing a vacuum and mop cycle. I'm hopeful that I may be able to address this myself by changing the filter more frequently, or having it make more passes each run, or using the ""Max+"" setting (which temporarily disables mopping and uses full power for vacuuming).";4
LT;I like it a lot but unfortunately it does not work with 5G WiFi;April 24, 2024;United States;This is my second Roborock and I must say I like it a lot. It’s smart, cleans well, the apps has a lot of functions. My only complaint is that it does not connect to 5G WiFi, only the 2.4G ones. I did not know about this until we recently upgraded our WiFi router.;4
Creepshow2000;Amazing!;April 17, 2024;United States;I watched it clean my place for the first time and was waiting for it to fail. I kept wanting to laugh or crack a smile every time I thought it was getting confused or stuck. I really wanted to think we are so far from this technology being viable. But I was wrong. Not only did the unit wow me and exceed my expectations, but it never got stuck, confused or failed to provide a fantastic cleaning, even on it's first try! Very impressive technology and would buy again without hesitation.;5
Keiko;"Roborock's tagline of ""Forget about cleaning, really"" is very true with the S8";May 5, 2023;United States;I own a 2nd or 3rd generation Roomba, but with 2 cats and 2 huskies, it just wasn't cutting it anymore. The upgrade to the s8 is like a whole other level of cleaning. I should have done a before and after picture. The difference is that astounding. Let me start with the #1 reason I got the s8: NO CAMERA Some people may consider this a negative, but as someone who works in the technology sector, I can't warn people enough. BE CAREFUL WHO GETS YOUR PERSONAL INFORMATION. In this case, I didn't want pictures of the inside of my house going to the internet. (Have you seen the story of the woman who had pictures of her on the toilet sent to the internet by her robot vacuum? That [or worse] can happen to you too.) The s8 uses a lidar system that I dare say is the most accurate at mapping and avoiding obstacles that I've seen. BRAVO and KUDOS to Roborock for using this mapping solution instead of a camera and taking steps to protect my privacy. The ENTIRE tech industry needs to start trending this way. (Yes, I understand the irony of saying this on Amazon.) I watched it as I sent it on it's first mapping run of the house and then as it started it's first real cleaning job. The app interface is incredibly accurate. It showed me what the s8 could see and also showed me where the s8 actually went, tracing it's path with a white line and marking obstacles accurately. In fact, I noticed that the s8 had avoided a spot that had no obstacles, so I checked the app and saw a little cat face icon, letting me know that it was avoiding the fur baby and would get that spot on another pass later. Incredible! And other things I didn't think it would recognize, it popped up an accurate icon for (such as a bar stool and even a pet bed and kennel!) Mopping is completely hands free with Pro Ultra Rock Dock. You only need 1 a cap full of the cleaning solution per each fill up of the clean water tank. I ran the s8 at full intensity 4-5 times from evening to overnight via scheduling (I was really breaking it in) and in the morning I woke to find a pop up letting me know to empty the dirty water tank and fill up the solution. The dock also cleans the mop for me as well as air-dries the pad to prevent mold. As far as noise, the noisiest part of the entire experience is the 10-15 seconds the dock empties the s8's dust bin. Other than that, the s8 is so quiet even at MAX+ power, I was concerned that it wasn't operating at 100% (compared to the extremely noisy Roomba I previously had.) On quiet modes, the s8 is so quiet, you may not know where it is without looking at the app. There's so much more I could say, but I've gone on long enough. If I had to come up with a negative, I'll say that there are so many features and settings available in the app, it can get overwhelming to non-techie folks. Oh and for those of us who are techies - one negative is that if you're the type of person who keeps your data secure, the app has a hard time if your phone or tablet is connected to a VPN. You'll have to disable it for the first time connection. Other than that, I don't know what else to say. Want to not have to think about cleaning? Get the roborock S8 Pro Ultra;5
Alex;Best robot vacuum by far!;March 8, 2024;United States;"I've owned multiple Ecovac robot vacuums, and I finally had enough of their issues to try something new. So far, I'm extremely happy with the Roborock. The vacuum is way more intelligent. It doesn't get stuck at all like the Ecovac I had, which would go haywire and back into everything. The Roborock also has many settings you can tweak to fit your life and house. I have a mix of carpet and hard floors and even the actual cleaning function has been hands down better than my previous vacuums. The big test will be to see how the longevity of the dock and vacuum hold up over the next year. However, after a solid 3-4 weeks of vacuum cleaning daily, everything has been working great. I've also not had any issues with the map freaking out and disappearing or creating a new one. I had this problem every other day with the Ecovac and had to go through, delete the map, and have it start all over. It was really interesting as well to see how the Roborock can identify objects correctly; for example, it showed on the map that it had detected an actual shoe that one of my kids had left out.";5
Sandy Campbell;Totally Awesome machine, with some caveats;December 25, 2023;United States;This machine is an awesome mopping and sweeping machine. You can control the suction power in different rooms, set different floor materials, and much more. It has been a lifesaver for me. The reason I only gave it 4 stars is because there are some downsides. 1. In order to work the machine with the app on your phone, you have to have 2.4ghz internet, meaning your 5G has to be split. That took some doing. It works perfectly now that it's split. 2. The MAJOR issue for me has been trying to program the machine to clean rooms in a specific order. For almost a month, I was emailing and calling Roborock DAILY, trying to figure out why I can't program this machine to clean rooms in a specific order.  For the first 2 weeks or so, I was asked to send pics of the map of my home, told to do different things to make the app divide the rooms so the Sequence option would show up, etc.  For the next week or so, I was told that the machine can't be programed, and the Sequence option isn't available.  I can't tell you how many days of my life I've wasted trying to work this out. The representatives obviously have no clue how this machine works. After spending many hours trying to figure this out, I finally got it. You CAN program this machine to clean in a specific order. If you set up zones on your map, the order in which you set the zones, is the order that the machine will clean in.  i.e.:  The first zone you set is the bathroom, 2nd bedroom, 3rd kitchen, 4th laundry, 5th den, etc.  The machine will clean the bathroom 1st, bedroom 2nd, kitchen 3td, laundry 4th, den 5th. I hope this is helpful because it drove me nuts!;4
Y. Belopolsky;Truly the absolute best and worth the hours in your life spent cleaning;March 3, 2024;United States;;5
KlaudiaG;It really mops!;March 5, 2024;United States;I took a while to decide which robot to buy and I’m so happy we picked these one. Last robot we had was a Roomba and a Braava to mop and the braava was just so disappointing. Roomba was ok, but it’s miss spots here and there. The Roborock is so superior to those too combined. Our braava would only get the floor wet, but my perception is that it wasn’t heavy enough to actually clean. I have two messy kids who love “to cook” a dog and a cat, so moping is hard work here. I had my doubts but after reading so many great reviews I decided to splurge and get it. It MOPS!! it looks like when our cleaning lady does it 😁 I am beyond happy with the way our floors and carpets look. Also it’s our first robot with smart mapping, love that it can learn different maps. I know I’m a little late to the party, but I’m amazed. To be able to divide rooms, pick materials, the orientation of wood, etc. its great. Also our house is big and it takes waaay less than our Roomba used to. Buy it, you won’t regret it;5
Lisa;Why did I wait so long????;April 2, 2024;United States;;5
